recipe_tag	coefficient
sweetandsalty	-0.08458825912953381
sweetandsavory	-0.08603408965694895
sweettreat	-0.04993286397422697
taco	-0.010427727520657732
tacos	0.029676931037408198
tangy	0.02371446308753184
tart	-0.0012333731559739233
tea	0.0008215492668998594
tempura	-0.015871686783806217
tender	0.07102987671537025
texmex	-0.010486428696070214
thanksgiving	-0.0024667463119478848
toast	-0.019717806202948822
tomato	-0.0038669586955440366
tomatoes	0.029515852537087068
tomatosauce	0.09587413096837194
tortilla	-0.002870751354476757
tortillabowl	-0.010427727520657732
tortillachips	-0.002248354329183377
tortillas	0.06936272472031692
traditional	0.013441090659720463
twisted	-0.06748868377644965
udonnoodles	-0.015871686783806217
vanilla	-0.06997610712261222
vanillaicecream	0.009720751602306545
vegan	-0.03132021211836776
vegetables	-0.30406524256377193
vegetarian	0.03569233557282511
warm	-0.05075441324112684
whippedcream	0.009720751602306545
winter	-0.09914298882217358
yeastdough	-0.06748868377644965
